1	5 
2	14 
3	5 
4	12 
5	3 
6	14 
7	12 
8	18 
9	11 
10	11 
11	15 
12	2 
13	13 
14	17 
15	14 
16	9 
17	12 
18	5 
19	3 
20	5 
21	2 
22	6 
23	1 
24	18 
25	4 
26	3 
27	16 
28	10 
29	5 
30	13 
31	17 
32	14 
33	17 
34	4 
35	5 
36	17 
37	9 
38	17 
39	13 
40	12 
41	7 
42	13 
43	3 
44	5 
45	17 
46	17 
47	10 
48	17 
49	2 
50	18 
51	11 
52	18 
53	10 
54	5 
55	13 
56	11 
57	17 
58	6 
59	6 
60	12 
61	16 
62	5 
63	12 
64	13 
65	10 
66	12 
67	10 
68	13 
69	1 
70	11 
71	2 
72	17 
73	6 
74	17 
75	5 
76	5 
77	9 
78	13 
79	6 
80	14 
81	10 
82	3 
83	13 
84	6 
85	14 
86	5 
87	5 
88	12 
89	3 
90	14 
91	4 
92	1 
93	17 
94	18 
95	18 
96	6 
97	8 
98	2 
99	10 
100	12 
101	9 
102	15 
103	3 
104	6 
105	18 
106	1 
107	2 
108	6 
109	5 
110	16 
111	3 
112	18 
113	16 
114	17 
115	10 
116	18 
117	17 
118	3 
119	12 
120	9 
121	10 
122	12 
123	4 
124	18 
125	6 
126	8 
127	7 
128	5 
129	1 
130	3 
131	6 
132	3 
133	3 
134	14 
135	1 
136	2 
137	14 
138	5 
139	8 
140	13 
141	5 
142	18 
143	1 
144	6 
145	16 
146	6 
147	6 
148	18 
149	18 
150	10 
151	7 
152	2 
153	3 
154	18 
155	18 
156	11 
157	18 
158	3 
159	17 
160	4 
161	15 
162	6 
163	18 
164	18 
165	16 
166	12 
167	4 
168	8 
169	13 
170	16 
171	17 
172	17 
173	1 
174	14 
175	6 
176	13 
177	10 
178	12 
179	16 
180	5 
181	12 
182	11 
183	2 
184	17 
185	10 
186	18 
187	3 
188	10 
189	14 
190	6 
191	14 
192	12 
193	5 
194	3 
195	13 
196	10 
197	6 
198	14 
199	10 
200	6 
201	3 
202	10 
203	11 
204	11 
205	18 
206	4 
207	3 
208	5 
209	13 
210	4 
211	6 
212	13 
213	5 
214	11 
215	18 
216	14 
217	17 
218	14 
219	5 
220	14 
221	13 
222	17 
223	10 
224	13 
225	14 
226	5 
227	8 
228	10 
229	5 
230	3 
231	2 
232	3 
233	3 
234	7 
235	18 
236	17 
237	6 
238	13 
239	4 
240	4 
241	10 
242	4 
243	2 
244	6 
245	18 
246	2 
247	13 
248	4 
249	14 
250	18 
