degree distribution (probability density function of the degree in logarithmic bins) 
3	0.375913
4	0.196338
5	0.0812277
6.51351	0.0954917
8.5	0.0492012
10.5455	0.0179125
13.1538	0.0168154
16.5	0.00205492
20.6923	0.0106098
26	0.00129656
30	0.0010299

degree distribution (degree-occurrences) 
3	0.292
4	0.192
5	0.1
6	0.072
7	0.076
8	0.048
9	0.048
10	0.02
11	0.024
12	0.016
13	0.012
14	0.024
16	0.004
17	0.004
19	0.016
20	0.008
21	0.012
22	0.008
23	0.008
24	0.004
28	0.004
30	0.008


--------------------------------------
community distribution (size-occurrences)
3	0.0555556
4	0.0555556
5	0.111111
8	0.111111
10	0.0555556
12	0.111111
15	0.0555556
18	0.0555556
19	0.111111
21	0.111111
22	0.0555556
24	0.111111


--------------------------------------
mixing parameter
1	1

--------------------------------------
